Image index,NumFibers,MMA,Vf,A11,A12,A13,A22,A23,A33,Elongation,Yield strength
132,25.0,0.584210568,0.40002172,0.9999,2.8e-07,-1.73e-07,5.59e-05,-1.69e-05,7.38e-05,0.006588071,619.9200693
809,24.0,3.572377009,0.432754242,0.9965,2.06e-05,8.68e-06,0.001888,0.0006298,0.00159,0.000602465,59.72187693
492,18.0,1.96761715287776,0.46823867185924,0.999,-5.622e-06,-7.964e-06,0.0006205,0.0001664,0.0004212,0.0014748516654048,159.86005633810197
493,21.0,1.66599416,0.546233763,0.9991,-1.25e-06,4.01e-06,0.0002594,-4.27e-05,0.0006177,0.002624881,331.0038615
323,25.0,1.091759606,0.550114959,0.9996,5.24e-07,8.15e-07,0.0001858,-4.6e-05,0.0002442,0.003744521,478.4238643
386,19.0,1.044480696,0.532111525,0.9995,-7.43e-07,5.79e-07,0.0002216,4.5e-05,0.0002289,0.002644611,326.3363798
501,19.0,1.453580172,0.513194401,0.9992,-2.03e-06,6.38e-06,0.0002526,-6.64e-07,0.0005201,0.003523107,419.1699278
802,21.0,2.853172303,0.37860714,0.9968,-2.79e-05,8.76e-06,0.002037,-0.000168,0.001167,0.000718294,62.57911532
553,25.0,1.899179427,0.475241993,0.9989,-2.7e-06,3.24e-06,0.0006498,-3.03e-06,0.0004491,0.001388549,153.1711233
40,25.0,0.0,0.474996718,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.010550457,1172.263003
848,19.0,3.78117654,0.418995231,0.9952,4.59e-06,-4.76e-05,0.001107,-0.0003178,0.003659,0.00076138,73.10154654
725,20.0,2.448088428,0.460478118,0.9979,-3.85e-06,-5.44e-06,0.0009382,0.0002993,0.001189,0.001115037,117.9750689
837,20.0,4.36236870821329,0.421279061617738,0.9939,2.211e-05,-1.038e-05,0.002324,0.001144,0.00373,0.0005196796798756,48.27786835902889
69,25.0,0.0,0.549990995,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.011729939,1502.342738
730,18.0,2.50407554950836,0.414453324461702,0.9977,-2.146e-07,1.859e-06,0.000842,5.766e-05,0.001439,0.0005850680801069,55.883039090298674
508,20.0,2.068707637,0.540365431,0.9986,2.43e-06,4.86e-06,0.0006982,-0.0001826,0.0006607,0.001652046,206.283227
186,25.0,0.623128246,0.525031883,0.9999,-1.41e-10,-1.37e-08,7.93e-05,-1.02e-06,6.28e-05,0.004185826,511.8850167
893,15.0,3.90696835054103,0.406041649817183,0.9949,5.957e-05,-5.709e-05,0.002742,-0.0001074,0.002352,0.0006024143753519,55.11499313117828
381,19.0,1.354096973,0.532168659,0.9993,1.37e-06,1.27e-07,0.0004477,0.0001379,0.000205,0.002875197,355.3794408
